id,user_id,short_code,original_url,title,is_active,created_at,updated_at
1,1,OvfxQA,https://opswise.net/urban/lagoon/1,Roadmap update journey,True,2025-06-09 11:24:49,2025-07-15 11:30:38
2,46,x5QfF6,https://acme.dev/silver/river/2,Service guide engine,True,2025-03-18 09:49:04,2026-02-15 07:42:23
3,5,y07k08,https://hackstack.io/jade/garden/3,Roadmap update valley,True,2025-04-11 23:16:12,2025-05-15 12:40:46
4,149,wMGJWZ,https://relay.cloud/young/kernel/4,Demo link garden,True,2025-04-09 03:38:27,2026-02-07 01:01:27
5,324,Kp1wyA,https://seeded.app/ember/pioneer/5,Campaign page field,True,2025-03-25 01:47:56,2026-01-02 00:35:19
6,194,FmkzTR,https://acme.dev/dawn/signal/6,Launch deck delta,False,2025-11-26 11:22:03,2026-02-18 02:34:10
7,58,a4Qahc,https://example.com/silver/trail/7,Quarterly brief window,True,2025-08-31 14:24:36,2025-09-15 03:09:23
8,279,pFvW0D,https://relay.cloud/clear/river/8,Quarterly brief network,False,2025-05-09 04:24:18,2025-10-30 22:53:56
9,387,egJNaJ,https://example.com/brisk/engine/9,Roadmap update river,False,2025-02-05 07:26:24,2025-11-21 00:13:57
10,123,m92zDt,https://hackstack.io/silver/engine/10,Service guide journey,True,2026-01-02 05:33:12,2026-01-06 16:40:41
11,20,CIUuRa,https://hackstack.io/rapid/quartz/11,Alert feed kernel,True,2025-01-16 11:59:01,2025-06-28 17:03:25
12,309,pFpTi1,https://relay.cloud/navy/zenith/12,Quarterly brief beacon,True,2025-04-09 07:52:43,2025-12-01 03:45:17
13,115,1FEC7C,https://relay.cloud/silver/canyon/13,Quarterly brief kernel,True,2025-03-26 23:50:09,2025-07-31 17:51:24
14,264,knswC4,https://opswise.net/amber/orbit/14,Incident notes river,True,2025-01-01 01:30:38,2025-11-14 12:59:32
15,238,z1fzr8,https://relay.cloud/harbor/network/15,Campaign page anchor,True,2025-09-16 10:15:56,2026-01-15 06:16:21
16,182,U7gmFa,https://seeded.app/calm/delta/16,Service guide network,True,2026-02-12 05:22:32,2026-02-13 07:47:19
17,83,v6AV1A,https://example.com/quiet/harvest/17,Campaign page valley,True,2025-04-25 00:01:59,2025-11-22 01:56:30
18,185,DFuL9a,https://seeded.app/lively/harvest/18,Quarterly brief kernel,True,2025-03-03 10:27:27,2025-09-09 10:12:01
19,363,c6ABuB,https://hackstack.io/silver/anchor/19,Incident notes signal,True,2025-08-10 04:28:33,2025-12-17 03:01:24
20,102,dAP8Tl,https://seeded.app/keen/journey/20,Alert feed zenith,True,2025-05-14 14:38:48,2025-07-09 18:23:33
21,197,RWLkox,https://opswise.net/cobalt/quartz/21,Roadmap update field,True,2025-03-08 00:33:17,2025-05-08 19:06:29
22,392,XNLbB1,https://opswise.net/calm/anchor/22,Launch deck journey,True,2025-02-19 13:35:13,2025-11-16 10:01:14
23,223,fOKOun,https://hackstack.io/mellow/meadow/23,Alert feed lagoon,True,2025-04-30 21:34:13,2025-09-16 02:08:14
24,202,cwGdiP,https://example.com/tidy/kernel/24,Campaign page orbit,True,2025-05-02 14:08:38,2026-01-30 03:11:09
25,230,JglPDU,https://hackstack.io/ember/field/25,Roadmap update yard,True,2025-10-17 12:06:55,2026-02-06 14:20:25
26,325,G8rxwz,https://opswise.net/navy/zenith/26,Roadmap update pioneer,True,2025-06-29 16:12:43,2025-08-08 11:01:38
27,96,ezMCCo,https://example.com/harbor/anchor/27,Launch deck valley,False,2025-01-19 08:10:58,2025-11-07 19:41:17
28,302,HobAqL,https://example.com/tidy/meadow/28,Status board network,True,2025-09-04 08:30:08,2025-10-11 21:40:27
29,32,r8YZpQ,https://example.com/silver/anchor/29,Campaign page journey,True,2025-07-11 09:55:18,2025-10-23 23:35:25
